Flow,Period,All Nationalities,British,EU,Non-EU,None,None,None,None
Immigration,YE Jun 12,639000,74000,327000,238000,None,None,None,None
Immigration,YE Sep 12,630000,76000,322000,232000,None,None,None,None
Immigration,YE Dec 12,643000,79000,334000,230000,None,None,None,None
Immigration,YE Mar 13,649000,75000,350000,224000,None,None,None,None
Immigration,YE Jun 13,669000,75000,373000,222000,None,None,None,None
Immigration,YE Sep 13,720000,78000,410000,233000,None,None,None,None
Immigration,YE Dec 13,713000,76000,402000,234000,None,None,None,None
Immigration,YE Mar 14,731000,80000,414000,236000,None,None,None,None
Immigration,YE Jun 14,737000,82000,420000,236000,None,None,None,None
Immigration,YE Sep 14,761000,81000,441000,239000,None,None,None,None
Immigration,YE Dec 14,778000,81000,457000,241000,None,None,None,None
Immigration,YE Mar 15,780000,83000,457000,240000,None,None,None,None
Immigration,YE Jun 15,778000,83000,454000,241000,None,None,None,None
Immigration,YE Sep 15,774000,81000,453000,240000,None,None,None,None
Immigration,YE Dec 15,797000,78000,481000,238000,None,None,None,None
Immigration,YE Mar 16,803000,78000,490000,235000,None,None,None,None
Immigration,YE Jun 16,832000,74000,521000,237000,None,None,None,None
Immigration,YE Sep 16,804000,70000,496000,238000,None,None,None,None
Immigration,YE Dec 16,772000,70000,465000,237000,None,None,None,None
Immigration,YE Mar 17,759000,72000,447000,239000,None,None,None,None
Immigration,YE Jun 17,718000,78000,399000,241000,None,None,None,None
Immigration,YE Sep 17,754000,78000,425000,251000,None,None,None,None
Immigration,YE Dec 17,752000,84000,411000,257000,None,None,None,None
Immigration,YE Mar 18,736000,76000,399000,261000,None,None,None,None
Immigration,YE Jun 18,757000,81000,407000,269000,None,None,None,None
Immigration,YE Sep 18,766000,85000,397000,284000,None,None,None,None
Immigration,YE Dec 18,825000,74000,421000,330000,None,None,None,None
Immigration,YE Mar 19,849000,74000,429000,346000,None,None,None,None
Immigration,YE Jun 19,821000,61000,413000,347000,None,None,None,None
Immigration,YE Sep 19,793000,66000,376000,351000,None,None,None,None
Immigration,YE Dec 19,788000,71000,349000,368000,None,None,None,None
Immigration,YE Mar 20,815000,80000,347000,388000,None,None,None,None
Immigration,YE Jun 20,736000,72000,333000,331000,None,None,None,None
Immigration,YE Sep 20,606000,53000,293000,260000,None,None,None,None
Immigration,YE Dec 20,662000,52000,316000,294000,None,None,None,None
Immigration,YE Mar 21,629000,44000,287000,297000,None,None,None,None
Immigration,YE Jun 21,709000,62000,279000,368000,None,None,None,None
Immigration,YE Sep 21,878000,96000,249000,534000,None,None,None,None
Immigration,YE Dec 21,891000,108000,172000,611000,None,None,None,None
Immigration,YE Mar 22,968000,110000,138000,721000,None,None,None,None
Immigration,YE Jun 22,1078000,108000,121000,848000,None,None,None,None
Immigration,YE Sep 22,1192000,94000,114000,984000,None,None,None,None
Immigration,YE Dec 22 P,1234000,88000,116000,1030000,None,None,None,None
Immigration,YE Mar 23 P,1202000,87000,128000,988000,None,None,None,None
Immigration,YE Jun 23 P,1180000,84000,129000,968000,None,None,None,None
Emigration,YE Jun 12,-477000,-156000,-140000,-181000,None,None,None,None
Emigration,YE Sep 12,-473000,-156000,-139000,-178000,None,None,None,None
Emigration,YE Dec 12,-448000,-151000,-128000,-169000,None,None,None,None
Emigration,YE Mar 13,-446000,-154000,-127000,-164000,None,None,None,None
Emigration,YE Jun 13,-454000,-157000,-131000,-166000,None,None,None,None
Emigration,YE Sep 13,-461000,-158000,-135000,-169000,None,None,None,None
Emigration,YE Dec 13,-469000,-157000,-141000,-171000,None,None,None,None
Emigration,YE Mar 14,-475000,-154000,-151000,-170000,None,None,None,None
Emigration,YE Jun 14,-489000,-157000,-161000,-171000,None,None,None,None
Emigration,YE Sep 14,-497000,-160000,-171000,-166000,None,None,None,None
Emigration,YE Dec 14,-494000,-161000,-180000,-154000,None,None,None,None
Emigration,YE Mar 15,-484000,-156000,-182000,-146000,None,None,None,None
