Flow,Period,AllNationalities,British,EU,NonEU
Immigration,Jun 12,639000,74000,327000,238000
Immigration,Sep 12,630000,76000,322000,232000
Immigration,Dec 12,643000,79000,334000,230000
Immigration,Mar 13,649000,75000,350000,224000
Immigration,Jun 13,669000,75000,373000,222000
Immigration,Sep 13,720000,78000,410000,233000
Immigration,Dec 13,713000,76000,402000,234000
Immigration,Mar 14,731000,80000,414000,236000
Immigration,Jun 14,737000,82000,420000,236000
Immigration,Sep 14,761000,81000,441000,239000
Immigration,Dec 14,778000,81000,457000,241000
Immigration,Mar 15,780000,83000,457000,240000
Immigration,Jun 15,778000,83000,454000,241000
Immigration,Sep 15,774000,81000,453000,240000
Immigration,Dec 15,797000,78000,481000,238000
Immigration,Mar 16,803000,78000,490000,235000
Immigration,Jun 16,832000,74000,521000,237000
Immigration,Sep 16,804000,70000,496000,238000
Immigration,Dec 16,772000,70000,465000,237000
Immigration,Mar 17,759000,72000,447000,239000
Immigration,Jun 17,718000,78000,399000,241000
Immigration,Sep 17,754000,78000,425000,251000
Immigration,Dec 17,752000,84000,411000,257000
Immigration,Mar 18,736000,76000,399000,261000
Immigration,Jun 18,757000,81000,407000,269000
Immigration,Sep 18,766000,85000,397000,284000
Immigration,Dec 18,825000,74000,421000,330000
Immigration,Mar 19,849000,74000,429000,346000
Immigration,Jun 19,821000,61000,413000,347000
Immigration,Sep 19,793000,66000,376000,351000
Immigration,Dec 19,788000,71000,349000,368000
Immigration,Mar 20,815000,80000,347000,388000
Immigration,Jun 20,736000,72000,333000,331000
Immigration,Sep 20,606000,53000,293000,260000
Immigration,Dec 20,662000,52000,316000,294000
Immigration,Mar 21,629000,44000,287000,297000
Immigration,Jun 21,709000,62000,279000,368000
Immigration,Sep 21,878000,96000,249000,534000
Immigration,Dec 21,891000,108000,172000,611000
Immigration,Mar 22,968000,110000,138000,721000
Immigration,Jun 22,1078000,108000,121000,848000
Immigration,Sep 22,1192000,94000,114000,984000
Immigration,Dec 22,1234000,88000,116000,1030000
Immigration,Mar 23,1202000,87000,128000,988000
Immigration,Jun 23,1180000,84000,129000,968000
Emigration,Jun 12,-477000,-156000,-140000,-181000
Emigration,Sep 12,-473000,-156000,-139000,-178000
Emigration,Dec 12,-448000,-151000,-128000,-169000
Emigration,Mar 13,-446000,-154000,-127000,-164000
Emigration,Jun 13,-454000,-157000,-131000,-166000
Emigration,Sep 13,-461000,-158000,-135000,-169000
Emigration,Dec 13,-469000,-157000,-141000,-171000
Emigration,Mar 14,-475000,-154000,-151000,-170000
Emigration,Jun 14,-489000,-157000,-161000,-171000
Emigration,Sep 14,-497000,-160000,-171000,-166000
Emigration,Dec 14,-494000,-161000,-180000,-154000
Emigration,Mar 15,-484000,-156000,-182000,-146000
Emigration,Jun 15,-482000,-154000,-187000,-141000
Emigration,Sep 15,-481000,-153000,-191000,-137000
Emigration,Dec 15,-494000,-151000,-193000,-150000
Emigration,Mar 16,-506000,-155000,-196000,-155000
Emigration,Jun 16,-511000,-157000,-199000,-155000
Emigration,Sep 16,-514000,-157000,-202000,-155000
Emigration,Dec 16,-523000,-163000,-213000,-147000
Emigration,Mar 17,-519000,-163000,-213000,-143000
Emigration,Jun 17,-518000,-157000,-212000,-149000
Emigration,Sep 17,-549000,-163000,-233000,-152000
Emigration,Dec 17,-544000,-164000,-235000,-144000
