Flow,Period,Estimate,Lowerbound,TwentyFivePercentLimit,SeventyFivePercentLimit,Upperbound
Immigration,Jun 18,757000,Not available,Not available,Not available,Not available
Immigration,Dec 18,825000,Not available,Not available,Not available,Not available
Immigration,Jun 19,821000,Not available,Not available,Not available,Not available
Immigration,Dec 19,788000,Not available,Not available,Not available,Not available
Immigration,Jun 20,736000,Not available,Not available,Not available,Not available
Immigration,Dec 20,662000,Not available,Not available,Not available,Not available
Immigration,Jun 21,709000,Not available,Not available,Not available,Not available
Immigration,Dec 21,891000,Not available,Not available,Not available,Not available
Immigration,Jun 22,1078000,1055000,1070000,1087000,1104000
Immigration,Dec 22,1234000,1170000,1202000,1236000,1269000
Immigration,Jun 23,1180000,1096000,1136000,1179000,1219000
Emigration,Jun 18,-541000,Not available,Not available,Not available,Not available
Emigration,Dec 18,-549000,Not available,Not available,Not available,Not available
Emigration,Jun 19,-597000,Not available,Not available,Not available,Not available
Emigration,Dec 19,-605000,Not available,Not available,Not available,Not available
Emigration,Jun 20,-625000,Not available,Not available,Not available,Not available
Emigration,Dec 20,-569000,Not available,Not available,Not available,Not available
Emigration,Jun 21,-488000,Not available,Not available,Not available,Not available
Emigration,Dec 21,-424000,Not available,Not available,Not available,Not available
Emigration,Jun 22,-471000,-433000,-454000,-475000,-496000
Emigration,Dec 22,-489000,-457000,-474000,-494000,-513000
Emigration,Jun 23,-508000,-468000,-493000,-519000,-543000
Net,Jun 18,216000,Not available,Not available,Not available,Not available
Net,Dec 18,276000,Not available,Not available,Not available,Not available
Net,Jun 19,224000,Not available,Not available,Not available,Not available
Net,Dec 19,184000,Not available,Not available,Not available,Not available
Net,Jun 20,111000,Not available,Not available,Not available,Not available
Net,Dec 20,93000,Not available,Not available,Not available,Not available
Net,Jun 21,221000,Not available,Not available,Not available,Not available
Net,Dec 21,466000,Not available,Not available,Not available,Not available
Net,Jun 22,607000,575000,600000,628000,655000
Net,Dec 22,745000,679000,716000,753000,792000
Net,Jun 23,672000,579000,627000,677000,724000
