Nationality,Flow,Period,All Reasons,Work,Study,Family,Other,None,None,None,None,None
British,Immigration,YE Jun 22,108000,35000,6000,4000,63000,None,None,None,None,None
British,Immigration,YE Jun 23 P,84000,21000,4000,5000,53000,None,None,None,None,None
British,Emigration,YE Jun 22,-89000,-3000,-1000,-4000,-81000,None,None,None,None,None
British,Emigration,YE Jun 23 P,-93000,-2000,-1000,-1000,-89000,None,None,None,None,None
British,Net,YE Jun 22,20000,32000,5000,0,-18000,None,None,None,None,None
British,Net,YE Jun 23 P,-10000,19000,3000,4000,-35000,None,None,None,None,None
EU,Immigration,YE Jun 22,121000,48000,38000,3000,33000,None,None,None,None,None
EU,Immigration,YE Jun 23 P,128000,50000,35000,6000,37000,None,None,None,None,None
EU,Emigration,YE Jun 22,-254000,-146000,-32000,-16000,-60000,None,None,None,None,None
EU,Emigration,YE Jun 23 P,-215000,-117000,-21000,-31000,-47000,None,None,None,None,None
EU,Net,YE Jun 22,-133000,-98000,5000,-13000,-27000,None,None,None,None,None
EU,Net,YE Jun 23 P,-87000,-67000,14000,-24000,-10000,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None
