Nationality,Flow,Period,AllReasons,Work,Study,Family,Other
British,Immigration,Jun 22,108000.0,35000.0,6000.0,4000.0,63000.0
British,Immigration,Jun 23,84000.0,21000.0,4000.0,5000.0,53000.0
British,Emigration,Jun 22,-89000.0,-3000.0,-1000.0,-4000.0,-81000.0
British,Emigration,Jun 23,-93000.0,-2000.0,-1000.0,-1000.0,-89000.0
British,Net,Jun 22,20000.0,32000.0,5000.0,0.0,-18000.0
British,Net,Jun 23,-10000.0,19000.0,3000.0,4000.0,-35000.0
EU,Immigration,Jun 22,121000.0,48000.0,38000.0,3000.0,33000.0
EU,Immigration,Jun 23,128000.0,50000.0,35000.0,6000.0,37000.0
EU,Emigration,Jun 22,-254000.0,-146000.0,-32000.0,-16000.0,-60000.0
EU,Emigration,Jun 23,-215000.0,-117000.0,-21000.0,-31000.0,-47000.0
EU,Net,Jun 22,-133000.0,-98000.0,5000.0,-13000.0,-27000.0
EU,Net,Jun 23,-87000.0,-67000.0,14000.0,-24000.0,-10000.0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
