Period,Publication,Immigration
All,Immigration
British,Immigration
EU,Immigration
Non-EU,Emigration
All,Emigration
British,Emigration
EU,Emigration
Non-EU,Net
All,Net
British,Net
EU,Net
Non-EU
YE Jun 21,Previous (May 23),651000,67000,222000,363000,-420000,-66000,-198000,-156000,232000,1000,24000,207000
YE Jun 21,Revised (Nov 23),709000,62000,279000,368000,-488000,-135000,-211000,-142000,221000,-73000,68000,226000
YE Jun 21,Difference,58000,-5000,57000,5000,68000,69000,13000,-14000,-11000,-74000,44000,19000
YE Sep 21,Previous (May 23),883000,96000,237000,549000,-464000,-82000,-243000,-140000,419000,14000,-5000,410000
YE Sep 21,Revised (Nov 23),878000,96000,249000,534000,-436000,-82000,-233000,-121000,443000,14000,16000,413000
YE Sep 21,Difference,-5000,0,12000,-15000,-28000,0,-10000,-19000,24000,0,21000,3000
YE Dec 21,Previous (May 23),942000,108000,196000,638000,-454000,-76000,-238000,-140000,488000,32000,-42000,498000
YE Dec 21,Revised (Nov 23),891000,108000,172000,611000,-424000,-76000,-234000,-115000,466000,32000,-62000,496000
YE Dec 21,Difference,-51000,0,-24000,-27000,-30000,0,-4000,-25000,-22000,0,-20000,-2000
YE Mar 22,Previous (May 23),1029000,110000,200000,720000,-464000,-81000,-236000,-147000,565000,29000,-36000,573000
YE Mar 22,Revised (Nov 23),968000,110000,138000,721000,-443000,-81000,-244000,-118000,526000,29000,-106000,603000
YE Mar 22,Difference,-61000,0,-62000,1000,-21000,0,8000,-29000,-39000,0,-70000,30000
YE Jun 22,Previous (May 23),1109000,109000,193000,808000,-503000,-90000,-244000,-170000,606000,19000,-51000,638000
YE Jun 22,Revised (Nov 23),1078000,108000,121000,848000,-471000,-89000,-254000,-128000,607000,20000,-133000,720000
YE Jun 22,Difference,-31000,-1000,-72000,40000,-32000,-1000,10000,-42000,1000,1000,-82000,82000
YE Sep 22,Previous (May 23),1183000,94000,171000,917000,-546000,-89000,-229000,-228000,637000,5000,-58000,689000
YE Sep 22,Revised (Nov 23),1192000,94000,114000,984000,-483000,-89000,-249000,-145000,709000,6000,-135000,839000
YE Sep 22,Difference,9000,0,-57000,67000,-63000,0,20000,-83000,72000,1000,-77000,150000
YE Dec 22,Previous (May 23),1163000,88000,151000,925000,-557000,-92000,-202000,-263000,606000,-4000,-51000,662000
YE Dec 22,Revised (Nov 23),1234000,88000,116000,1030000,-489000,-92000,-239000,-157000,745000,-4000,-123000,873000
YE Dec 22,Difference,71000,0,-35000,105000,-68000,0,37000,-106000,139000,0,-72000,211000
