Date1,RegionName,AreaCode,AveragePrice,HPIINDEX,IndexSA,OneMonthChange,TwelveMonthChange,AveragePriceSA,SalesVolume,DetachedPrice,DetachedIndex,DetachedOneMonthChange,DetachedTwelveMonthChange,SemiDetachedPrice,SemiDetachedIndex,SemiDetachedOneMonthChange,SemiDetachedTwelveMonthChange,TerracedPrice,TerracedIndex,TerracedOneMonthChange,TerracedTwelveMonthChange,FlatPrice,FlatIndex,FlatOneMonthChange,FlatTwelveMonthChange,CashPrice,CashIndex,CashOneMonthChange,CashTwelveMonthChange,CashSalesVolume,MortgagePrice,MortgageIndex,MortgageOneMonthChange,MortgageTwelveMonthChange,MortgageSalesVolume,FTBPrice,FTBIndex,FTBOneMonthChange,FTBtwelveMonthChange,FOOPrice,FOOIndex,FOOOneMonthChange,FOOTwelveMonthChange,NewPrice,NewIndex,NewOneMonthChange,NewTwelveMonthChange,NewSalesVolume,OldPrice,OldIndex,OldOneMonthChange,OldTwelveMonthChange,OldSalesVolume
01/01/2013,East Midlands,E12000004,137536.5355,89.50183643,89.73525,-1.036673491,0.856126085,137895.2167,3447.0,200466.4154,89.42310379,-1.193768131,0.590012897,125871.9192,89.52323454,-0.480265922,1.000317192,104184.0939,89.53695217,-1.419656848,1.170054696,84401.1207,89.65191094,-1.543956816,0.25238159,133403.4483,89.49133335,-1.177309938,0.590938389,1218.0,139597.1125,89.50850009,-0.966569918,0.988435086,2229.0,115710.6914,89.36262487,-1.128117716,0.869268326,155419.3751,89.59034868,-0.981456486,0.848197078,173897.6555,86.71529667,-3.977678132,0.034393957,217.0,134817.7424,89.79819438,-0.712661723,0.945563355,3230.0
01/02/2013,East Midlands,E12000004,137599.2999,89.54268036,89.74266,0.045634739,1.099802113,137906.6118,3522.0,200483.5222,89.4307347,0.008533493,0.96184416,125569.521,89.30816147,-0.240242736,1.251733898,104680.6179,89.96367033,0.4765833,1.420056772,84376.23819,89.62548044,-0.029481252,-0.436583397,133737.2012,89.71522554,0.250183095,0.953149297,1202.0,139514.9559,89.45582201,-0.058852601,1.021835478,2320.0,116006.0573,89.59073401,0.255262355,1.175065179,155282.7486,89.5115914,-0.087908221,0.888572405,175581.5732,87.55499417,0.968338374,0.532138551,307.0,134753.3618,89.75531231,-0.047753821,1.167650069,3215.0
01/03/2013,East Midlands,E12000004,138561.8313,90.1690472,90.19189,0.699517642,1.121401001,138596.9279,4585.0,202609.4709,90.37906779,1.060410704,2.276697035,126060.2481,89.65717875,0.390801099,0.534181102,105164.3792,90.37942015,0.462130789,0.591986989,85437.96257,90.75325716,1.258321535,-0.446283024,134746.7311,90.39245074,0.754860948,0.972325873,1560.0,140451.4016,90.05626314,0.671215266,1.192129647,3025.0,116651.0514,90.08885887,0.556000422,0.558073829,156511.3597,90.21981518,0.791209007,1.460477916,180069.6051,89.79298303,2.556095043,1.854836957,572.0,135444.0406,90.21535343,0.512550292,1.060622178,4013.0
01/04/2013,East Midlands,E12000004,139314.2861,90.65870684,90.45051,0.543046256,0.631745526,138994.3555,4258.0,203308.7097,90.6909809,0.345116537,0.189750386,127146.9005,90.43003291,0.862010347,0.808452823,105690.3135,90.83141385,0.500106885,1.287517021,85583.04109,90.90736135,0.169805683,-0.653372075,135471.3285,90.87853401,0.537747637,0.627935686,1493.0,141217.9252,90.54775167,0.545757185,0.630150698,2765.0,117283.525,90.57731412,0.542192737,0.79310734,157362.1413,90.71024191,0.543590925,0.532206535,179464.463,89.49122464,-0.336060102,1.10408406,390.0,136301.2755,90.78633277,0.632907061,0.593136446,3868.0
01/05/2013,East Midlands,E12000004,141012.3511,91.76372181,90.93737,1.218873522,1.997612431,139742.507,5780.0,205321.7128,91.58893172,0.990121413,1.746836628,128733.6797,91.55858973,1.247988953,2.102900871,107169.5347,92.10267275,1.399580658,2.387263353,87084.01868,92.50171825,1.753825963,1.186259178,137123.5017,91.98686508,1.219574109,1.826273883,1874.0,142938.687,91.65108969,1.218515097,2.079484857,3906.0,118820.953,91.76465991,1.310864427,2.084645441,159187.8788,91.76267479,1.160213954,1.939582349,181727.5737,90.61974083,1.261035583,2.393502739,501.0,137956.7711,91.88901045,1.214585554,1.967696799,5279.0
01/06/2013,East Midlands,E12000004,141366.9339,91.99446643,90.8252,0.251455167,1.367983476,139570.1393,5591.0,204466.6135,91.2074931,-0.416468034,1.375288052,129208.8505,91.89654298,0.369111465,1.568530849,108267.947,93.0466603,1.024929586,1.280298622,87460.6655,92.90179714,0.432509685,0.666860836,136983.9195,91.89322882,-0.101793078,1.080280544,1825.0,143557.1296,92.04762992,0.432662867,1.512913096,3766.0,119417.4019,92.22529361,0.501972872,1.388613972,159334.1977,91.84701925,0.091915869,1.341226787,180281.5465,89.89866914,-0.795711492,2.084621312,880.0,138451.4786,92.21852081,0.35859604,1.296397986,4711.0
01/07/2013,East Midlands,E12000004,142534.4512,92.75422774,90.83615,0.825877182,1.100483889,139586.9647,5910.0,207618.0249,92.61325971,1.541284128,0.833316276,129999.0238,92.45853382,0.611547312,1.138711186,108596.8557,93.32932803,0.30379138,1.642297756,87238.70911,92.66603234,-0.25377852,0.051905056,138462.5245,92.88512472,1.079400418,1.030912677,2074.0,144556.8879,92.68866655,0.696418397,1.133033004,3836.0,119884.7422,92.58621751,0.391350238,1.112103238,161093.4854,92.86114763,1.104149475,1.094374407,181721.5141,90.61671915,0.79873264,3.884730277,351.0,139598.7414,92.98267933,0.82863888,0.808883871,5559.0
01/08/2013,East Midlands,E12000004,144029.7382,93.72728511,91.39769,1.049070636,3.030681327,140449.8702,6566.0,209720.5501,93.55114413,1.012689137,2.941840531,131696.6011,93.66589293,1.305838481,3.263007985,109496.5739,94.10255574,0.828493819,2.888296909,87936.24789,93.40696662,0.799574844,2.88465939,139990.2935,93.9100014,1.103380859,2.683598038,2178.0,146033.242,93.63529249,1.021296321,3.2010341,4388.0,121298.649,93.67816862,1.179388396,3.02577983,162649.644,93.7581837,0.965997186,3.029941741,182583.1927,91.04640127,0.474175327,4.281341729,555.0,141145.127,94.01268202,1.10773609,2.897856459,6011.0
01/09/2013,East Midlands,E12000004,143552.8145,93.41692722,91.97022,-0.331128636,3.081168847,141329.6682,5592.0,210089.1753,93.71557869,0.175769696,3.498884565,130351.215,92.709021,-1.021579898,2.858577917,109198.8634,93.84670005,-0.271890274,2.899689892,88051.9771,93.52989562,0.131605813,2.413954263,139610.2508,93.65505652,-0.271477882,3.163531999,1943.0,145505.1381,93.29667666,-0.3616327,3.036431112,3649.0,120780.9681,93.27836699,-0.426782068,2.887923951,162210.4246,93.50499894,-0.270040172,3.197686287,185107.8364,92.30533272,1.382736082,4.997050147,568.0,140433.9809,93.5390082,-0.503840341,2.889091631,5024.0
01/10/2013,East Midlands,E12000004,144443.5701,93.99658603,92.69433,0.620507246,3.621644865,142442.4125,6226.0,212190.2521,94.65281702,1.000088077,4.618659022,131624.7602,93.61479797,0.977010606,3.435167918,108981.734,93.66009665,-0.19883853,2.914734394,87882.40427,93.34977327,-0.192582647,1.397396606,140283.7112,94.10683548,0.482386084,3.571210091,2219.0,146510.9346,93.94158496,0.69124467,3.644941098,4007.0,121259.5239,93.64795257,0.396217887,3.342745347,163449.5459,94.21928126,0.763897466,3.798082331,186429.9508,92.96461444,0.714240126,3.980263585,520.0,141292.0004,94.11051015,0.610977124,3.596988459,5706.0
